event_kind,event_id,event_type,stage,start_utc,end_utc,duration_seconds,session_id,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,match_method,match_delta_seconds,match_candidate_count,match_ambiguity,done,passed,request_attention,final_status,note
attempt,work-freeze-sampling,work,population_and_retrieval,2026-07-17T18:31:53Z,2026-07-17T19:01:42.709000Z,1783.739,session-010,4420281,4275200,39945,10077,4460226,time_only_unique,2.542,1,not_ambiguous,True,,False,cleared,2026-07-17T18-31-53Z-0000__work-freeze-sampling.json
attempt,work-retrieve-corpus,work,population_and_retrieval,2026-07-17T19:01:43Z,2026-07-17T20:39:09.471000Z,5839.959,session-011,45975630,45355008,64725,11277,46040355,time_only_unique,3.331,1,not_ambiguous,True,,False,cleared,2026-07-17T19-01-43Z-0000__work-retrieve-corpus.json
attempt,validate-source-scrutiny,validate,validation,2026-07-17T20:39:10Z,2026-07-17T20:39:10Z,0.0,,0,0,0,0,0,ambiguous,7.201,2,multiple_time_only_candidates,True,False,True,cleared,2026-07-17T20-39-10Z-0000__validate-source-scrutiny.json
attempt,validate-source-surface,validate,validation,2026-07-17T20:39:10Z,2026-07-17T20:39:10Z,0.0,,0,0,0,0,0,ambiguous,7.201,2,multiple_time_only_candidates,True,False,True,cleared,2026-07-17T20-39-10Z-0001__validate-source-surface.json
decision,004-patch,patch,orchestration,2026-07-17T21:05:43Z,2026-07-17T21:05:43Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=4; add_contracts=1; supersede=1; cancel=0
attempt,work-repair-descriptive-corpus,work,population_and_retrieval,2026-07-17T21:05:53Z,2026-07-17T21:27:39.855000Z,1300.228,session-014,8562271,8353536,34826,6391,8597097,time_only_unique,3.414,1,not_ambiguous,True,,False,cleared,2026-07-17T21-05-53Z-0000__work-repair-descriptive-corpus.json
attempt,validate-descriptive-corpus-scrutiny,validate,validation,2026-07-17T21:27:40Z,2026-07-17T21:27:40Z,0.0,,0,0,0,0,0,ambiguous,7.14,2,multiple_time_only_candidates,True,False,True,cleared,2026-07-17T21-27-40Z-0000__validate-descriptive-corpus-scrutiny.json
attempt,validate-descriptive-corpus-surface,validate,validation,2026-07-17T21:27:40Z,2026-07-17T21:27:40Z,0.0,,0,0,0,0,0,ambiguous,7.14,2,multiple_time_only_candidates,True,True,False,cleared,2026-07-17T21-27-40Z-0001__validate-descriptive-corpus-surface.json
decision,005-patch,patch,orchestration,2026-07-17T21:41:38Z,2026-07-17T21:41:38Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=4; add_contracts=1; supersede=1; cancel=0
attempt,work-repair-supplement-timing,work,population_and_retrieval,2026-07-17T21:41:46Z,2026-07-17T21:50:18.888000Z,506.077,session-017,2034580,1934336,16586,3529,2051166,time_only_unique,3.547,1,not_ambiguous,True,,False,cleared,2026-07-17T21-41-46Z-0000__work-repair-supplement-timing.json
attempt,validate-supplement-timing-scrutiny,validate,validation,2026-07-17T21:50:19Z,2026-07-17T21:50:19Z,0.0,,0,0,0,0,0,ambiguous,3.555,2,multiple_time_only_candidates,True,True,False,cleared,2026-07-17T21-50-19Z-0000__validate-supplement-timing-scrutiny.json
attempt,validate-supplement-timing-surface,validate,validation,2026-07-17T21:50:19Z,2026-07-17T21:50:19Z,0.0,,0,0,0,0,0,ambiguous,3.555,2,multiple_time_only_candidates,True,True,False,cleared,2026-07-17T21-50-19Z-0001__validate-supplement-timing-surface.json
decision,006-continue,continue,orchestration,2026-07-17T22:00:38Z,2026-07-17T22:00:38Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=0; add_contracts=0; supersede=0; cancel=0
attempt,work-token-estimation,work,analysis,2026-07-17T22:00:47Z,2026-07-17T22:28:07.592000Z,1630.786,session-020,10184223,10000384,35663,6202,10219886,task_id_and_time,5.206,2,not_ambiguous,True,,False,cleared,2026-07-17T22-00-47Z-0001__work-token-estimation.json
attempt,work-tools-census,work,analysis,2026-07-17T22:00:47Z,2026-07-17T22:00:47Z,0.0,,0,0,0,0,0,ambiguous,5.206,2,multiple_time_only_candidates,True,,False,cleared,2026-07-17T22-00-47Z-0000__work-tools-census.json
attempt,work-jq-analysis,work,analysis,2026-07-17T22:28:08Z,2026-07-17T22:51:02.655000Z,1367.963,session-023,7091579,6930688,36912,8351,7128491,time_only_unique,3.485,1,not_ambiguous,True,,False,cleared,2026-07-17T22-28-08Z-0001__work-jq-analysis.json
attempt,work-reqresp-discovery,work,analysis,2026-07-17T22:28:08Z,2026-07-17T22:44:14.408000Z,959.715,session-022,6266837,6092032,29980,5451,6296817,task_id_and_time,3.256,2,not_ambiguous,True,,False,cleared,2026-07-17T22-28-08Z-0000__work-reqresp-discovery.json
attempt,work-rare-enrichment,work,analysis,2026-07-17T22:51:03Z,2026-07-17T23:41:09.766000Z,3000.378,session-024,23814781,23387392,37905,5017,23852686,task_id_and_time,3.226,1,not_ambiguous,True,,False,cleared,2026-07-17T22-51-03Z-0000__work-rare-enrichment.json
attempt,work-reqresp-final,work,analysis,2026-07-17T23:41:10Z,2026-07-18T00:19:27.181000Z,2287.55,session-025,21070366,20796416,52910,9023,21123276,time_only_unique,4.541,1,not_ambiguous,True,,False,cleared,2026-07-17T23-41-10Z-0000__work-reqresp-final.json
attempt,validate-analysis-scrutiny,validate,validation,2026-07-18T00:19:45Z,2026-07-18T00:19:45Z,0.0,,0,0,0,0,0,ambiguous,2.908,2,multiple_time_only_candidates,True,False,True,cleared,2026-07-18T00-19-45Z-0000__validate-analysis-scrutiny.json
attempt,validate-analysis-surface,validate,validation,2026-07-18T00:19:45Z,2026-07-18T00:19:45Z,0.0,,0,0,0,0,0,ambiguous,2.908,2,multiple_time_only_candidates,True,False,True,cleared,2026-07-18T00-19-45Z-0001__validate-analysis-surface.json
decision,007-patch,patch,orchestration,2026-07-18T00:38:28Z,2026-07-18T00:38:28Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=11; add_contracts=1; supersede=1; cancel=0
attempt,work-freeze-analysis-review-samples,work,other_work,2026-07-18T00:38:38Z,2026-07-18T01:02:48.409000Z,1441.415,session-028,14072165,13856000,35714,9928,14107879,task_id_and_time,4.926,1,not_ambiguous,True,,False,cleared,2026-07-18T00-38-38Z-0000__work-freeze-analysis-review-samples.json
attempt,work-independent-semantic-coder-a,work,manual_semantic_reliability,2026-07-18T01:02:49Z,2026-07-18T01:26:47.855000Z,1429.022,session-030,7087409,6736896,37686,9353,7125095,task_id_and_time,6.156,2,not_ambiguous,True,,False,cleared,2026-07-18T01-02-49Z-0000__work-independent-semantic-coder-a.json
attempt,work-independent-semantic-coder-b,work,manual_semantic_reliability,2026-07-18T01:02:49Z,2026-07-18T01:10:18.066000Z,439.233,session-031,1677811,1569280,10443,3840,1688254,task_id_and_time,6.164,1,not_ambiguous,False,,True,superseded,2026-07-18T01-02-49Z-0001__work-independent-semantic-coder-b.json
attempt,work-manual-reqresp-review-p0,work,manual_semantic_reliability,2026-07-18T01:02:49Z,2026-07-18T01:23:12.356000Z,1212.983,session-032,5834508,5687808,29336,5907,5863844,task_id_and_time,6.314,1,not_ambiguous,False,,True,cleared,2026-07-18T01-02-49Z-0002__work-manual-reqresp-review-p0.json
attempt,work-manual-reqresp-review-p1,work,manual_semantic_reliability,2026-07-18T01:02:49Z,2026-07-18T01:05:38.878000Z,160.044,session-029,426306,356096,3459,741,429765,time_only_unique,6.139,1,not_ambiguous,False,,True,cleared,2026-07-18T01-02-49Z-0003__work-manual-reqresp-review-p1.json
decision,008-patch,patch,orchestration,2026-07-18T01:28:46Z,2026-07-18T01:28:46Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=27; add_contracts=0; supersede=5; cancel=0
attempt,work-independent-semantic-coder-b-v2,work,manual_semantic_reliability,2026-07-18T01:29:17Z,2026-07-18T01:36:52.537000Z,444.569,session-034,1801496,1681408,12707,3476,1814203,task_id_and_time,6.672,1,not_ambiguous,False,,False,cleared,2026-07-18T01-29-17Z-0000__work-independent-semantic-coder-b-v2.json
attempt,work-refreeze-manual-review-v2,work,manual_semantic_reliability,2026-07-18T01:29:17Z,2026-07-18T01:36:56.513000Z,448.439,session-033,451456,394752,18226,4399,469682,time_only_unique,6.607,1,not_ambiguous,False,,False,cleared,2026-07-18T01-29-17Z-0001__work-refreeze-manual-review-v2.json
decision,009-retry,retry,orchestration,2026-07-18T09:13:51Z,2026-07-18T09:13:51Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=0; add_contracts=0; supersede=0; cancel=0
attempt,work-independent-semantic-coder-b-v2,work,manual_semantic_reliability,2026-07-18T09:14:02Z,2026-07-18T09:30:30.360000Z,980.256,session-037,2704146,2591232,34078,9867,2738224,task_id_and_time,5.218,2,not_ambiguous,True,,False,cleared,2026-07-18T09-14-02Z-0000__work-independent-semantic-coder-b-v2.json
attempt,work-refreeze-manual-review-v2,work,manual_semantic_reliability,2026-07-18T09:14:02Z,2026-07-18T09:44:02.127000Z,1792.272,session-036,7596787,7443456,39465,9534,7636252,task_id_and_time,5.184,2,not_ambiguous,True,,False,cleared,2026-07-18T09-14-02Z-0001__work-refreeze-manual-review-v2.json
attempt,work-manual-reqresp-review-v2-s00,work,manual_semantic_reliability,2026-07-18T09:44:02Z,2026-07-18T09:44:02Z,0.0,,0,0,0,0,0,ambiguous,3.898,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T09-44-02Z-0000__work-manual-reqresp-review-v2-s00.json
attempt,work-manual-reqresp-review-v2-s01,work,manual_semantic_reliability,2026-07-18T09:44:02Z,2026-07-18T09:44:02Z,0.0,,0,0,0,0,0,ambiguous,3.898,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T09-44-02Z-0001__work-manual-reqresp-review-v2-s01.json
attempt,work-manual-reqresp-review-v2-s02,work,manual_semantic_reliability,2026-07-18T09:44:02Z,2026-07-18T09:44:02Z,0.0,,0,0,0,0,0,ambiguous,3.898,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T09-44-02Z-0002__work-manual-reqresp-review-v2-s02.json
attempt,work-manual-reqresp-review-v2-s03,work,manual_semantic_reliability,2026-07-18T09:44:02Z,2026-07-18T09:44:02Z,0.0,,0,0,0,0,0,ambiguous,3.898,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T09-44-02Z-0003__work-manual-reqresp-review-v2-s03.json
attempt,work-manual-reqresp-review-v2-s04,work,manual_semantic_reliability,2026-07-18T10:08:35Z,2026-07-18T10:08:35Z,0.0,,0,0,0,0,0,ambiguous,3.69,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T10-08-35Z-0000__work-manual-reqresp-review-v2-s04.json
attempt,work-manual-reqresp-review-v2-s05,work,manual_semantic_reliability,2026-07-18T10:08:35Z,2026-07-18T10:08:35Z,0.0,,0,0,0,0,0,ambiguous,3.69,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T10-08-35Z-0001__work-manual-reqresp-review-v2-s05.json
attempt,work-manual-reqresp-review-v2-s06,work,manual_semantic_reliability,2026-07-18T10:08:35Z,2026-07-18T10:08:35Z,0.0,,0,0,0,0,0,ambiguous,3.69,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T10-08-35Z-0002__work-manual-reqresp-review-v2-s06.json
attempt,work-manual-reqresp-review-v2-s07,work,manual_semantic_reliability,2026-07-18T10:08:35Z,2026-07-18T10:08:35Z,0.0,,0,0,0,0,0,ambiguous,3.69,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T10-08-35Z-0003__work-manual-reqresp-review-v2-s07.json
attempt,work-manual-reqresp-review-v2-s08,work,manual_semantic_reliability,2026-07-18T10:32:52Z,2026-07-18T10:32:52Z,0.0,,0,0,0,0,0,ambiguous,2.155,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T10-32-52Z-0000__work-manual-reqresp-review-v2-s08.json
attempt,work-manual-reqresp-review-v2-s09,work,manual_semantic_reliability,2026-07-18T10:32:52Z,2026-07-18T10:32:52Z,0.0,,0,0,0,0,0,ambiguous,2.155,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T10-32-52Z-0001__work-manual-reqresp-review-v2-s09.json
attempt,work-manual-reqresp-review-v2-s10,work,manual_semantic_reliability,2026-07-18T10:32:52Z,2026-07-18T10:32:52Z,0.0,,0,0,0,0,0,ambiguous,2.155,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T10-32-52Z-0002__work-manual-reqresp-review-v2-s10.json
attempt,work-manual-reqresp-review-v2-s11,work,manual_semantic_reliability,2026-07-18T10:32:52Z,2026-07-18T10:32:52Z,0.0,,0,0,0,0,0,ambiguous,2.155,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T10-32-52Z-0003__work-manual-reqresp-review-v2-s11.json
attempt,work-manual-reqresp-review-v2-s12,work,manual_semantic_reliability,2026-07-18T10:55:28Z,2026-07-18T10:55:28Z,0.0,,0,0,0,0,0,ambiguous,3.661,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T10-55-28Z-0000__work-manual-reqresp-review-v2-s12.json
attempt,work-manual-reqresp-review-v2-s13,work,manual_semantic_reliability,2026-07-18T10:55:28Z,2026-07-18T10:55:28Z,0.0,,0,0,0,0,0,ambiguous,3.661,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T10-55-28Z-0001__work-manual-reqresp-review-v2-s13.json
attempt,work-manual-reqresp-review-v2-s14,work,manual_semantic_reliability,2026-07-18T10:55:28Z,2026-07-18T10:55:28Z,0.0,,0,0,0,0,0,ambiguous,3.661,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T10-55-28Z-0002__work-manual-reqresp-review-v2-s14.json
attempt,work-manual-reqresp-review-v2-s15,work,manual_semantic_reliability,2026-07-18T10:55:28Z,2026-07-18T10:55:28Z,0.0,,0,0,0,0,0,ambiguous,3.661,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T10-55-28Z-0003__work-manual-reqresp-review-v2-s15.json
attempt,work-manual-reqresp-review-v2-s16,work,manual_semantic_reliability,2026-07-18T11:21:44Z,2026-07-18T11:21:44Z,0.0,,0,0,0,0,0,ambiguous,3.976,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T11-21-44Z-0000__work-manual-reqresp-review-v2-s16.json
attempt,work-manual-reqresp-review-v2-s17,work,manual_semantic_reliability,2026-07-18T11:21:44Z,2026-07-18T11:21:44Z,0.0,,0,0,0,0,0,ambiguous,3.976,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T11-21-44Z-0001__work-manual-reqresp-review-v2-s17.json
attempt,work-manual-reqresp-review-v2-s18,work,manual_semantic_reliability,2026-07-18T11:21:44Z,2026-07-18T11:21:44Z,0.0,,0,0,0,0,0,ambiguous,3.976,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T11-21-44Z-0002__work-manual-reqresp-review-v2-s18.json
attempt,work-manual-reqresp-review-v2-s19,work,manual_semantic_reliability,2026-07-18T11:21:44Z,2026-07-18T11:21:44Z,0.0,,0,0,0,0,0,ambiguous,3.976,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T11-21-44Z-0003__work-manual-reqresp-review-v2-s19.json
attempt,work-manual-reqresp-review-v2-s20,work,manual_semantic_reliability,2026-07-18T11:40:47Z,2026-07-18T11:40:47Z,0.0,,0,0,0,0,0,ambiguous,4.516,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T11-40-47Z-0000__work-manual-reqresp-review-v2-s20.json
attempt,work-manual-reqresp-review-v2-s21,work,manual_semantic_reliability,2026-07-18T11:40:47Z,2026-07-18T11:40:47Z,0.0,,0,0,0,0,0,ambiguous,4.516,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T11-40-47Z-0001__work-manual-reqresp-review-v2-s21.json
attempt,work-manual-reqresp-review-v2-s22,work,manual_semantic_reliability,2026-07-18T11:40:47Z,2026-07-18T11:40:47Z,0.0,,0,0,0,0,0,ambiguous,4.516,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T11-40-47Z-0002__work-manual-reqresp-review-v2-s22.json
attempt,work-manual-reqresp-review-v2-s23,work,manual_semantic_reliability,2026-07-18T11:40:47Z,2026-07-18T11:40:47Z,0.0,,0,0,0,0,0,ambiguous,4.516,4,multiple_time_only_candidates,True,,False,cleared,2026-07-18T11-40-47Z-0003__work-manual-reqresp-review-v2-s23.json
attempt,work-merge-manual-review-v2,work,manual_semantic_reliability,2026-07-18T12:04:25Z,2026-07-18T12:16:31.963000Z,719.529,session-062,4480282,4321792,26350,5572,4506632,task_id_and_time,4.203,1,not_ambiguous,False,,True,superseded,2026-07-18T12-04-25Z-0000__work-merge-manual-review-v2.json
decision,010-patch,patch,orchestration,2026-07-18T12:19:04Z,2026-07-18T12:19:04Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=2; add_contracts=0; supersede=1; cancel=0
attempt,work-replace-manual-review-v2-s20,work,manual_semantic_reliability,2026-07-18T12:19:22Z,2026-07-18T12:44:29.446000Z,1500.488,session-063,9522701,9280512,49327,9445,9572028,time_only_unique,3.497,1,not_ambiguous,True,,False,cleared,2026-07-18T12-19-22Z-0000__work-replace-manual-review-v2-s20.json
attempt,work-merge-manual-review-v3,work,manual_semantic_reliability,2026-07-18T12:44:30Z,2026-07-18T12:56:38.600000Z,721.798,session-064,2936741,2828544,16905,2345,2953646,time_only_unique,3.616,1,not_ambiguous,True,,False,cleared,2026-07-18T12-44-30Z-0000__work-merge-manual-review-v3.json
attempt,work-adjudicate-analysis-repair,work,manual_semantic_reliability,2026-07-18T12:56:39Z,2026-07-18T13:19:09.153000Z,1345.881,session-065,7192012,6916864,29243,5694,7221255,time_only_unique,2.012,1,not_ambiguous,False,,True,superseded,2026-07-18T12-56-39Z-0000__work-adjudicate-analysis-repair.json
decision,011-patch,patch,orchestration,2026-07-18T13:21:50Z,2026-07-18T13:21:50Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=5; add_contracts=0; supersede=1; cancel=0
attempt,work-freeze-fresh-semantic-holdout-v3,work,manual_semantic_reliability,2026-07-18T13:22:14Z,2026-07-18T13:39:23.258000Z,1022.276,session-066,6548267,6366720,26188,5871,6574455,task_id_and_time,3.296,1,not_ambiguous,False,,True,superseded,2026-07-18T13-22-14Z-0001__work-freeze-fresh-semantic-holdout-v3.json
attempt,work-reseal-supplement-metadata-v3,work,other_work,2026-07-18T13:22:14Z,2026-07-18T13:36:44.072000Z,862.689,session-067,4466927,4290048,29659,10466,4496586,task_id_and_time,4.035,1,not_ambiguous,True,,False,cleared,2026-07-18T13-22-14Z-0000__work-reseal-supplement-metadata-v3.json
decision,012-patch,patch,orchestration,2026-07-18T13:41:33Z,2026-07-18T13:41:33Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=2; add_contracts=0; supersede=1; cancel=0
attempt,work-acquire-fresh-jq-reliability-pool-v4,work,analysis,2026-07-18T13:41:40Z,2026-07-18T14:06:39.596000Z,1492.412,session-068,7658079,7468032,33972,6767,7692051,time_only_unique,3.792,1,not_ambiguous,True,,False,cleared,2026-07-18T13-41-40Z-0000__work-acquire-fresh-jq-reliability-pool-v4.json
attempt,work-freeze-fresh-semantic-holdout-v4,work,manual_semantic_reliability,2026-07-18T14:06:40Z,2026-07-18T14:28:01.404000Z,1275.682,session-069,6653302,6352384,32811,6296,6686113,time_only_unique,3.454,1,not_ambiguous,True,,False,cleared,2026-07-18T14-06-40Z-0000__work-freeze-fresh-semantic-holdout-v4.json
attempt,work-independent-semantic-coder-a-v3,work,manual_semantic_reliability,2026-07-18T14:28:02Z,2026-07-18T14:28:02Z,0.0,,0,0,0,0,0,ambiguous,1.965,2,multiple_time_only_candidates,False,,True,superseded,2026-07-18T14-28-02Z-0000__work-independent-semantic-coder-a-v3.json
attempt,work-independent-semantic-coder-b-v3,work,manual_semantic_reliability,2026-07-18T14:28:02Z,2026-07-18T14:28:02Z,0.0,,0,0,0,0,0,ambiguous,1.965,2,multiple_time_only_candidates,False,,True,superseded,2026-07-18T14-28-02Z-0001__work-independent-semantic-coder-b-v3.json
decision,013-patch,patch,orchestration,2026-07-18T14:31:36Z,2026-07-18T14:31:36Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=3; add_contracts=0; supersede=2; cancel=0
attempt,work-prepare-blind-startup-v4,work,manual_semantic_reliability,2026-07-18T14:31:47Z,2026-07-18T15:09:41.461000Z,2268.071,session-072,7739151,7580160,36979,10044,7776130,task_id_and_time,2.8,1,not_ambiguous,True,,False,cleared,2026-07-18T14-31-47Z-0000__work-prepare-blind-startup-v4.json
attempt,work-independent-semantic-coder-a-v4,work,manual_semantic_reliability,2026-07-18T15:09:42Z,2026-07-18T15:09:42Z,0.0,,0,0,0,0,0,ambiguous,3.771,2,multiple_time_only_candidates,False,,True,superseded,2026-07-18T15-09-42Z-0000__work-independent-semantic-coder-a-v4.json
attempt,work-independent-semantic-coder-b-v4,work,manual_semantic_reliability,2026-07-18T15:09:42Z,2026-07-18T15:09:42Z,0.0,,0,0,0,0,0,ambiguous,3.771,2,multiple_time_only_candidates,False,,True,superseded,2026-07-18T15-09-42Z-0001__work-independent-semantic-coder-b-v4.json
decision,014-patch,patch,orchestration,2026-07-18T15:17:56Z,2026-07-18T15:17:56Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=2; add_contracts=0; supersede=2; cancel=0
attempt,work-independent-semantic-coder-a-v5,work,manual_semantic_reliability,2026-07-18T15:18:11Z,2026-07-18T15:18:11Z,0.0,,0,0,0,0,0,ambiguous,3.521,2,multiple_time_only_candidates,False,,True,superseded,2026-07-18T15-18-11Z-0000__work-independent-semantic-coder-a-v5.json
attempt,work-independent-semantic-coder-b-v5,work,manual_semantic_reliability,2026-07-18T15:18:11Z,2026-07-18T15:18:11Z,0.0,,0,0,0,0,0,ambiguous,3.521,2,multiple_time_only_candidates,False,,True,superseded,2026-07-18T15-18-11Z-0001__work-independent-semantic-coder-b-v5.json
decision,015-patch,patch,orchestration,2026-07-18T15:20:48Z,2026-07-18T15:20:48Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=3; add_contracts=0; supersede=2; cancel=0
attempt,work-prepare-blind-startup-v5,work,manual_semantic_reliability,2026-07-18T15:21:00Z,2026-07-18T15:33:58.471000Z,772.57,session-077,2734596,2624256,21352,4477,2755948,task_id_and_time,3.658,1,not_ambiguous,True,,False,cleared,2026-07-18T15-21-00Z-0000__work-prepare-blind-startup-v5.json
attempt,work-independent-semantic-coder-a-v6,work,manual_semantic_reliability,2026-07-18T15:33:59Z,2026-07-18T15:33:59Z,0.0,,0,0,0,0,0,ambiguous,1.733,2,multiple_time_only_candidates,True,,False,cleared,2026-07-18T15-33-59Z-0000__work-independent-semantic-coder-a-v6.json
attempt,work-independent-semantic-coder-b-v6,work,manual_semantic_reliability,2026-07-18T15:33:59Z,2026-07-18T15:33:59Z,0.0,,0,0,0,0,0,ambiguous,1.733,2,multiple_time_only_candidates,False,,False,superseded,2026-07-18T15-33-59Z-0001__work-independent-semantic-coder-b-v6.json
decision,016-retry,retry,orchestration,2026-07-18T16:33:31Z,2026-07-18T16:33:31Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=0; add_contracts=0; supersede=0; cancel=0
attempt,work-independent-semantic-coder-b-v6,work,manual_semantic_reliability,2026-07-18T16:33:40Z,2026-07-18T16:35:44.692000Z,118.248,session-080,235663,186880,3178,924,238841,time_only_unique,3.215,1,not_ambiguous,False,,True,superseded,2026-07-18T16-33-40Z-0000__work-independent-semantic-coder-b-v6.json
decision,017-patch,patch,orchestration,2026-07-18T16:36:35Z,2026-07-18T16:36:35Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=2; add_contracts=0; supersede=1; cancel=0
attempt,work-prepare-blind-startup-b-v6,work,manual_semantic_reliability,2026-07-18T16:36:44Z,2026-07-18T16:45:45.439000Z,534.88,session-081,1643408,1552384,17032,3842,1660440,task_id_and_time,3.843,1,not_ambiguous,True,,False,cleared,2026-07-18T16-36-44Z-0000__work-prepare-blind-startup-b-v6.json
attempt,work-independent-semantic-coder-b-v7,work,manual_semantic_reliability,2026-07-18T16:45:46Z,2026-07-18T16:49:26.688000Z,213.031,session-082,631058,570880,5478,1913,636536,time_only_unique,3.023,1,not_ambiguous,False,,True,superseded,2026-07-18T16-45-46Z-0000__work-independent-semantic-coder-b-v7.json
decision,018-patch,patch,orchestration,2026-07-18T16:50:19Z,2026-07-18T16:50:19Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=2; add_contracts=0; supersede=1; cancel=0
attempt,work-prepare-blind-startup-b-v7,work,manual_semantic_reliability,2026-07-18T16:50:32Z,2026-07-18T17:02:39.909000Z,722.973,session-083,3456608,3335424,24644,6642,3481252,task_id_and_time,2.691,1,not_ambiguous,True,,False,cleared,2026-07-18T16-50-32Z-0000__work-prepare-blind-startup-b-v7.json
